Month,Game,Pay/No Pay,Value,Rejected
April,Dictator,Pay,0.0,False
April,Dictator,Pay,1.0,False
April,Dictator,Pay,1.0,False
April,Dictator,Pay,2.5,False
April,Dictator,Pay,0.0,False
April,Dictator,Pay,2.5,False
April,Dictator,Pay,0.0,False
April,Dictator,Pay,0.0,False
April,Dictator,Pay,0.0,False
April,Dictator,Pay,1.0,False
April,Dictator,Pay,3.0,False
April,Dictator,Pay,1.0,False
April,Dictator,Pay,2.0,False
April,Dictator,Pay,1.5,False
April,Dictator,Pay,2.5,False
April,Dictator,Pay,0.0,False
April,Dictator,Pay,0.0,False
April,Dictator,Pay,0.0,False
April,Dictator,Pay,1.0,False
April,Dictator,Pay,0.0,False
April,Dictator,Pay,1.0,False
April,Dictator,No Pay,2.0,False
April,Dictator,No Pay,2.0,False
April,Dictator,No Pay,1.0,False
April,Dictator,No Pay,0.0,False
April,Dictator,No Pay,2.5,False
April,Dictator,No Pay,2.5,False
April,Dictator,No Pay,2.0,False
April,Dictator,No Pay,2.5,False
April,Dictator,No Pay,2.5,False
April,Dictator,No Pay,2.5,False
April,Dictator,No Pay,2.0,False
April,Dictator,No Pay,2.5,False
April,Dictator,No Pay,2.5,False
April,Dictator,No Pay,2.5,False
April,Dictator,No Pay,2.0,False
April,Dictator,No Pay,2.5,False
April,Dictator,No Pay,2.0,False
April,Dictator,No Pay,2.5,False
April,Dictator,No Pay,4.0,False
April,Dictator,No Pay,2.5,False
April,Dictator,No Pay,0.0,False
April,Dictator,No Pay,2.0,False
April,Ultimatum,Pay,2.0,False
April,Ultimatum,Pay,2.5,False
April,Ultimatum,Pay,2.5,False
April,Ultimatum,Pay,1.0,False
April,Ultimatum,Pay,2.5,False
April,Ultimatum,Pay,1.0,True
April,Ultimatum,Pay,3.0,False
April,Ultimatum,Pay,2.5,False
April,Ultimatum,Pay,2.5,False
April,Ultimatum,Pay,2.0,True
April,Ultimatum,Pay,2.5,False
April,Ultimatum,Pay,2.5,False
April,Ultimatum,Pay,2.5,False
April,Ultimatum,Pay,2.5,False
April,Ultimatum,Pay,2.5,False
April,Ultimatum,Pay,2.0,False
April,Ultimatum,Pay,2.75,False
April,Ultimatum,Pay,2.0,False
April,Ultimatum,Pay,1.0,True
April,Ultimatum,Pay,2.5,False
April,Ultimatum,No Pay,2.5,False
April,Ultimatum,No Pay,3.0,False
April,Ultimatum,No Pay,2.5,False
April,Ultimatum,No Pay,2.5,False
April,Ultimatum,No Pay,0.0,True
April,Ultimatum,No Pay,2.0,True
April,Ultimatum,No Pay,3.0,False
April,Ultimatum,No Pay,3.0,False
April,Ultimatum,No Pay,2.5,False
April,Ultimatum,No Pay,3.5,False
April,Ultimatum,No Pay,2.5,False
April,Ultimatum,No Pay,2.25,False
April,Ultimatum,No Pay,2.0,False
April,Ultimatum,No Pay,2.5,False
April,Ultimatum,No Pay,2.5,False
April,Ultimatum,No Pay,2.5,False
April,Ultimatum,No Pay,2.25,False
April,Ultimatum,No Pay,2.5,False
April,Ultimatum,No Pay,2.0,False
April,Ultimatum,No Pay,2.0,False
April,Ultimatum,No Pay,2.5,False
April,Ultimatum,No Pay,2.0,False
April,Ultimatum,No Pay,3.0,False
